date,tag,run_id,image_completed,video_completed,errors,success_rate,latency_mean_s,latency_p50_s,latency_p90_s,latency_p95_s,started_at,finished_at,source_bytes,file_count,digest,models,categories,error_classes
2026-06-29,media-exp-2026-06-29,run_20260629_233317,0,4,0,1.0,270.5,269.0,311.3,317.15,2026-06-29T23:33:18+08:00,2026-06-30T00:09:20+08:00,16033722,5,ec9abc589993002484ce90757ba92fe9a7f8e5d83a26ebc3137549c9a445385b,"{""agnes-video-v2.0"": 8}","{""marketing-video"": 1, ""nature"": 1, ""product-video"": 1, ""taiwan-asia-urban"": 1}",{}
2026-06-30,media-exp-2026-06-30,run_20260630_144301,21,0,2,0.9130434782608695,84.82608695652173,67.0,125.80000000000004,231.29999999999984,2026-06-30T14:43:01+08:00,2026-06-30T15:47:05+08:00,121168348,23,370573f9925a66af24a277bc39429eede93e135e88c5a2a465157ed77d3f7c13,"{""agnes-image-2.1-flash"": 22, ""agnes-video-v2.0"": 1}","{""product"": 21}","{""server_busy"": 2}"
2026-06-30,media-exp-2026-06-30,run_20260630_165959,11,0,2,0.8461538461538461,97.46153846153847,78.0,115.20000000000002,192.99999999999974,2026-06-30T16:59:59+08:00,2026-06-30T17:37:36+08:00,62728857,13,6d53259333ff0032e139cc01a3ee50b8e760a7a67afcbda07726217fe97604fb,"{""agnes-image-2.1-flash"": 12, ""agnes-video-v2.0"": 1}","{""product"": 11}","{""server_busy"": 2}"
2026-06-30,media-exp-2026-06-30,run_20260630_190013,8,0,2,0.8,84.5,64.0,86.79999999999993,184.89999999999975,2026-06-30T19:00:13+08:00,2026-06-30T19:26:19+08:00,46185050,10,0a0d6ed850ebb869fff6f155a35b57c14e478da0232171b95d57b02538591825,"{""agnes-image-2.1-flash"": 9, ""agnes-video-v2.0"": 1}","{""product"": 8}","{""server_busy"": 2}"
2026-07-01,media-exp-2026-07-01,run_20260701_144028,0,0,2,0.0,22.5,22.5,35.7,37.349999999999994,2026-07-01T14:40:28+08:00,2026-07-01T14:41:13+08:00,2216,1,013f715a14b3e690db4b9d58af39aabfe60ac122246fcf005cf50ee97f02fa61,"{""agnes-image-2.1-flash"": 1, ""agnes-video-v2.0"": 1}",{},"{""server_busy"": 2}"
2026-07-02,media-exp-2026-07-02,run_20260702_132745,32,7,1,0.975,84.15,54.5,224.0,224.05,2026-07-02T13:27:45+08:00,2026-07-02T15:28:12+08:00,210382446,41,565c22ba0792a5fb9398ea7a8a21b06c106f99e07be3efe0d94e6855d01e3fd6,"{""agnes-image-2.1-flash"": 33, ""agnes-video-v2.0"": 14}","{""educational-video"": 1, ""fantasy-video"": 1, ""marketing-video"": 1, ""nature"": 1, ""product"": 32, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1}","{""server_busy"": 1}"
2026-07-03,media-exp-2026-07-03,run_20260703_112425,28,7,1,0.9722222222222222,84.30555555555556,52.5,223.5,227.0,2026-07-03T11:24:25+08:00,2026-07-03T13:13:23+08:00,186848705,37,7de768e7c4b7b7437f2a1ebf6794b860c9ff37d48bca928b708ccdd89c1912f2,"{""agnes-image-2.1-flash"": 29, ""agnes-video-v2.0"": 14}","{""educational-video"": 1, ""fantasy-video"": 1, ""marketing-video"": 1, ""nature"": 1, ""product"": 28, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1}","{""server_busy"": 1}"
2026-07-05,media-exp-2026-07-05,run_20260705_200953,80,7,0,1.0,68.85057471264368,56.0,91.40000000000006,157.80000000000004,2026-07-05T20:09:53+08:00,2026-07-06T00:04:35+08:00,492698591,88,34f4a339b3587ee7a46e79643ee5ab1306ea2c02558077759e33b741913a4905,"{""agnes-image-2.1-flash"": 80, ""agnes-video-v2.0"": 14}","{""architecture"": 28, ""educational-video"": 1, ""fantasy-video"": 1, ""marketing-video"": 1, ""nature"": 1, ""product"": 32, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1, ""ui-app-assets"": 20}",{}
2026-07-11,media-exp-2026-07-11,run_20260711_204146,59,0,2,0.9672131147540983,53.459016393442624,51.0,62.0,64.0,2026-07-11T20:41:46+08:00,2026-07-11T23:04:37+08:00,375358477,61,dee2dfb881ccb0c2717913d3f5f76250566e24a774bbaebafef401cf8181fe31,"{""agnes-image-2.1-flash"": 60, ""agnes-video-v2.0"": 1}","{""architecture"": 27, ""product"": 32}","{""server_busy"": 2}"
2026-07-12,media-exp-2026-07-12,run_20260712_175037,145,7,1,0.9934640522875817,59.54248366013072,52.0,63.0,81.4,2026-07-12T17:50:37+08:00,2026-07-13T00:16:19+08:00,822318788,154,d35efdf31af02482495a7a21e79850b8da3abd31fd5c0d5788974f10f11b111a,"{""agnes-image-2.1-flash"": 146, ""agnes-video-v2.0"": 14}","{""architecture"": 28, ""ecommerce"": 30, ""educational-video"": 1, ""fantasy-video"": 1, ""marketing"": 23, ""marketing-video"": 1, ""nature"": 1, ""product"": 32, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1, ""ui-app-assets"": 32}","{""server_busy"": 1}"
