period,runs,image_completed,video_completed,errors,success_rate,latency_mean_s,source_bytes
2026-06-29,1,0,4,0,1.0,270.5,16033722
2026-06-30,3,40,0,6,0.8695652173913043,88.92920847268674,230082255
2026-07-01,1,0,0,2,0.0,22.5,2216
2026-07-02,1,32,7,1,0.975,84.15,210382446
2026-07-03,1,28,7,1,0.9722222222222222,84.30555555555556,186848705
2026-07-05,1,80,7,0,1.0,68.85057471264368,492698591
2026-07-11,1,59,0,2,0.9672131147540983,53.459016393442624,375358477
2026-07-12,1,145,7,1,0.9934640522875817,59.54248366013072,822318788
2026-07-13,1,3,1,2,0.6666666666666666,111.33333333333333,18054070
2026-07-17,1,7,4,2,0.8461538461538461,130.15384615384616,53193407
2026-07-20,1,1,4,2,0.7142857142857143,377.14285714285717,20125385
2026-07-21,1,3,4,2,0.7777777777777778,164.66666666666666,30512884
2026-07-22,1,1,7,1,0.8888888888888888,183.77777777777777,31366786
2026-07-23,1,0,2,2,0.5,142.0,3714236
2026-07-27,1,0,0,2,0.0,80.5,1962
2026-07-28,1,306,4,2,0.9935897435897436,59.39423076923077,1847454417
2026-07-29,1,113,7,1,0.9917355371900827,77.69421487603306,650357474
2026-07-30,1,9,7,1,0.9411764705882353,142.05882352941177,75993817
2026-07-31,1,4,7,1,0.9166666666666666,212.25,47639984
2026-08-03,1,62,7,1,0.9857142857142858,90.07142857142857,423546309
